           ,Subject,grade,             ,Strand,              ,Strand Descriptor,               ,Concept,                ,Accessing Information,       ,        
HE12,Health Education (2012),Fifth Grade,,Violence and Suicide Prevention,,"Acquire knowledge and skills to prevent different forms of violence and suicide with a focus on communication and pro-social behaviors.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.05.VS02.CC,Recognize bullying and cyber bullying behavior and what to do in a bullying situation.  (REQ),HE.05.VS02.IC,Demonstrate what to say and do as a victim or bystander of bullying and cyber bullying.  (REQ),,
HE12,Health Education (2012),Fifth Grade,,Violence and Suicide Prevention,,"Acquire knowledge and skills to prevent different forms of violence and suicide with a focus on communication and pro-social behaviors.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.05.VS02.CC,Recognize bullying and cyber bullying behavior and what to do in a bullying situation.  (REQ),HE.05.VS02.ADV,Advocate for a safe school environment. (Essential)  (REQ),,
HE12,Health Education (2012),Fifth Grade,,Violence and Suicide Prevention,,"Acquire knowledge and skills to prevent different forms of violence and suicide with a focus on communication and pro-social behaviors.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.05.VS03.CC,"Recognize the importance of problem solving, anger management and impulse control in violence prevention.  (REQ)",HE.05.VS03.SM,"Demonstrate problem-solving skills, anger management steps, and impulse control.  (REQ)",,
HE12,Health Education (2012),Fifth Grade,,Violence and Suicide Prevention,,"Acquire knowledge and skills to prevent different forms of violence and suicide with a focus on communication and pro-social behaviors.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.05.VS04.CC,"Identify the differences between physical, verbal and relational violence.  (REC)",,No skill listed for this concept,,
HE12,Health Education (2012),Fifth Grade,,Violence and Suicide Prevention,,"Acquire knowledge and skills to prevent different forms of violence and suicide with a focus on communication and pro-social behaviors.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.05.VS05.CC,Identify that media and technology contains violent messages and images.  (REC),HE.05.VS05.GS,Set personal media and technology use goals.  (REC),,
HE12,Health Education (2012),Eighth Grade,,"Alcohol, Tobacco and Other Drug Prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  336.455 Human Sexuality Education (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.AT01.CC,Describe the benefits of a tobacco and drug-free environment.   (REQ),HE.08.AT01.IC,"Demonstrate refusal skills related to the use of alcohol, tobacco, inhalant and other drug use.  (REQ)",,
HE12,Health Education (2012),Eighth Grade,,"Alcohol, Tobacco and Other Drug Prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  336.455 Human Sexuality Education (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.AT02.CC,"Explain why most youth do not use alcohol, tobacco and other drugs.  (REQ)",HE.08.AT02.INF,"Identify the influences that encourage young people to abstain and not abstain from alcohol, tobacco and other drug use.  (REQ)",,
HE12,Health Education (2012),Eighth Grade,,"Alcohol, Tobacco and Other Drug Prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  336.455 Human Sexuality Education (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.AT03.CC,"Explain short-and long-term effects of alcohol, tobacco, inhalants and other drug use, including anabolic steroids, performance enhancing drugs and controlled substances.   (REQ)",HE.08.AT03.DM,Analyze the short and long term effects of drugs using the decision making model.   (REQ),,
HE12,Health Education (2012),Eighth Grade,,"Alcohol, Tobacco and Other Drug Prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  336.455 Human Sexuality Education (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.AT04.CC,Explain the stages of drug dependence and addiction and its’ effects on the adolescent brain.  (REQ),HE.08.AT04.AI,"Identify places at school, in the home and community that provide support to those affected by alcohol, tobacco and drug addiction.  (REQ)",,
HE12,Health Education (2012),Eighth Grade,,"Alcohol, Tobacco and Other Drug Prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  336.455 Human Sexuality Education (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.AT04.CC,Explain the stages of drug dependence and addiction and its’ effects on the adolescent brain.  (REQ),HE.08.AT04.INF,"Identify individual factors that modify drug effects including age, gender, weight, dosage, purity, tolerance, drug interactions.",,
HE12,Health Education (2012),Eighth Grade,,"Alcohol, Tobacco and Other Drug Prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  336.455 Human Sexuality Education (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.AT05.CC,Explain the impact of second hand smoke.  (REQ),HE.08.AT05.GS,Set a goal to avoid secondhand smoke.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,"Alcohol, Tobacco and Other Drug Prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  336.455 Human Sexuality Education (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.AT06.CC,Explain appropriate use of ‘over the counter’ and prescription drugs.   (REQ),HE.08.AT06.AI,Name an appropriate person in the school and/or community to dispense medications.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,"Alcohol, Tobacco and Other Drug Prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  336.455 Human Sexuality Education (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.AT07.CC,"Explain school policies and community laws related to alcohol, tobacco and illegal drug use, possession, and sales.   (REQ)",HE.08.AT07.ADV,Advocate in the school and community for a drug and tobacco-free environment.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,"Alcohol, Tobacco and Other Drug Prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  336.455 Human Sexuality Education (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.AT08.CC,"Explain the relationship between alcohol and other drug use on vehicle crashes, injuries, violence, suicide, and sexual risk behavior.  (REQ)",HE.08.AT08.IC,Demonstrate refusal skills around drinking and driving or being a passenger when the driver has been drinking and driving.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,"Alcohol, Tobacco and Other Drug Prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  336.455 Human Sexuality Education (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.AT09.CC,"Identify the effects of alcohol, tobacco and other drug use during pregnancy.  (REQ)",,No skill listed for this concept,,
HE12,Health Education (2012),Eighth Grade,,"Alcohol, Tobacco and Other Drug Prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  336.455 Human Sexuality Education (K-12); 342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-1440 Human Sexuality Education (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.AT10.CC,"Identify the effects of alcohol, tobacco, other drugs, including anabolic steroids and performance enhancing drugs.  (REQ)",,No skill listed for this concept.,,
